,REA_start_UTC,REA_end_UTC,d14C_meas_up_ppm,d14C_meas_up_err_ppm,d14C_meas_down_ppm,d14C_meas_down_err_ppm,CO2_meas_up_ppm,CO2_meas_up_err_ppm,CO2_meas_down_ppm,CO2_meas_down_err_ppm,DCO2_meas_ppm,DCO2_meas_err_ppm,DCO2_MGA_ppm,DCO2_IRGA_ppm,DCO2_lag100ms_MGA_ppm,DCO2_lag100ms_IRGA_ppm,DCO2_lag200ms_MGA_ppm,DCO2_lag200ms_IRGA_ppm,DCO2_lag300ms_MGA_ppm,DCO2_lag300ms_IRGA_ppm,DCO2_lag400ms_MGA_ppm,DCO2_lag400ms_IRGA_ppm,DCO2_lag500ms_MGA_ppm,DCO2_lag500ms_IRGA_ppm,DCO2_lag600ms_MGA_ppm,DCO2_lag600ms_IRGA_ppm,DCO2_lag700ms_MGA_ppm,DCO2_lag700ms_IRGA_ppm,DCO2_lag800ms_MGA_ppm,DCO2_lag800ms_IRGA_ppm,DCO2_dtrinse-4s_MGA_ppm,DCO2_dtrinse-4s_IRGA_ppm,DCO2_dtrinse-2s_MGA_ppm,DCO2_dtrinse-2s_IRGA_ppm,DCO2_dtrinse2s_MGA_ppm,DCO2_dtrinse2s_IRGA_ppm,DCO2_dtrinse4s_MGA_ppm,DCO2_dtrinse4s_IRGA_ppm,std(DCO2_var103)_ppm,std(CO2)_MGA_ppm,std(CO2)_IRGA_ppm,Comment
417,2022-07-18_14-07-00.000000,2022-07-18_14-07-00.000000,-19.09254785119774,2.4563631497819327,-19.09254785119774,2.4563631497819327,417.49988329436405,0.0080131487137263,416.6934129693074,0.0301569363371006,0.8064703250566367,0.0312033870204539,,0.814967531194327,,0.8136325289879096,,0.8103229616621093,,0.8055752633351858,,0.8016586723330192,,0.7993656724942753,,0.7940588774882258,,0.7910824277799406,,0.7880328985823439,,0.8149817113744575,,0.8149817113744575,,0.8135479123762934,,0.8108428350780059,0.005666032685694991,,0.6983820597428362,MGA7 not yet installed
429,2022-07-20_04-26-00.000000,2022-07-20_04-26-00.000000,-39.20724762197614,1.832587781769476,-39.20724762197614,1.832587781769476,500.36825477077576,0.0335018075234734,493.261882655957,0.0195002614659083,7.106372114818782,0.0387637885735985,,7.601423473659281,,7.605364059339479,,7.607944697331618,,7.607238530657014,,7.606593299848839,,7.606833013772132,,7.606473618068492,,7.606097693287495,,7.603621445762428,,7.609543053002142,,7.601423473659281,,7.600840170507297,,7.598662693621634,0.045335858434615586,,10.167277607544268,MGA7 not yet installed
436,2022-07-22_13-59-58.715000,2022-07-22_13-59-58.715000,-12.359030148675233,1.833959678195476,-12.359030148675233,1.833959678195476,420.4489429863584,0.0282752274545616,420.0836648979392,0.0378578036660618,0.3652780884192452,0.0472514739032051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MGA7 not yet installed, low IRGA signalstrength, no IRGA flux data"
444,2022-07-25_09-19-55.015000,2022-07-25_09-19-55.015000,-6.373872761672228,1.861620333778765,-6.373872761672228,1.861620333778765,426.1756732448116,0.0334815283749218,425.05779453909526,0.0149435087565551,1.1178787057163504,0.0366649859713314,,1.003100095761397,,0.9985404305485304,,0.9902752245755552,,0.9826802393189382,,0.9741754190077928,,0.966323625547318,,0.9586097435673082,,0.9524112016190998,,0.9467026373303612,,1.0099420107077322,,1.003100095761397,,1.005421968911321,,1.0084610272858754,0.026832016525489756,,4.139502241044865,MGA7 not yet installed
449,2022-07-25_15-37-55.515000,2022-07-25_15-37-55.515000,,,,,411.94678587903167,0.0149212961600578,411.6949771529587,0.0245823621086575,0.2518087260729658,0.0287565228415626,,0.2674983882131982,,0.2652104044579459,,0.2549157646874391,,0.2457471902658312,,0.2354959077898684,,0.2285085777069184,,0.217984571101681,,0.2094262740947101,,0.2006564099641536,,0.2682740797805536,,0.2675377707384427,,0.2659345461855196,,0.2636639967262226,0.003298653636029613,,0.4426063278596548,"MGA7 not yet installed,  no 14C data (sample lost during graphitization)"
451,2022-07-26_09-36-54.615000,2022-07-26_09-36-54.615000,4.25751626186921,1.9,4.25751626186921,1.9,413.9039788878495,0.0100703235859954,413.43486765000745,0.0207409914274131,0.4691112378420712,0.0230564555497734,,0.1007575393149409,,0.0996053868832405,,0.0965928518693317,,0.0938792306536697,,0.091931698662222,,0.0893374075701558,,0.0878464795663376,,0.0852060417618645,,0.0828506685365368,,0.1005349863269771,,0.1007575393149409,,0.1008130969194098,,0.1012230567448568,0.0066535533238060015,,1.0722640278907831,MGA7 not yet installed
456,2022-07-27_06-09-53.965000,2022-07-27_06-09-53.965000,-3.530956336245117,1.979796340890968,-3.530956336245117,1.979796340890968,423.09238809274666,0.048461396883559,422.2795062013533,0.0356536324086576,0.8128818913933742,0.0601638470498479,,0.756511295988048,,0.7557212665709585,,0.7494909397389051,,0.7440669599189391,,0.7395442077126404,,0.7325475762331735,,0.7274174074860866,,0.7245719205365049,,0.7209103754634043,,0.758684927972638,,0.756511295988048,,0.7545669922423599,,0.7491498354843316,0.011392698040996845,,1.9747550274842691,MGA7 not yet installed
477,2022-08-01_11-05-02.665000,2022-08-01_11-05-02.665000,-5.045537129646949,1.897908103985977,-5.045537129646949,1.897908103985977,417.04333545484434,0.0296020742724348,417.29771561214096,0.0123629125908741,-0.2543801572966231,0.0320799689675713,,-0.908587795704193,,-0.9097296962296468,,-0.9130655054261752,,-0.9159668472516388,,-0.9179477094786536,,-0.9199953379124964,,-0.921110712098141,,-0.9236899010735442,,-0.9245485216158044,,-0.9081132606800112,,-0.908587795704193,,-0.905251409528887,,-0.9028625268595648,0.015538647616037817,,1.4272209927385435,MGA7 not yet installed
479,2022-08-15_07-50-00.515000,2022-08-15_07-50-00.515000,-9.93168784646825,1.9,-9.93168784646825,1.9,426.5109182316438,0.0198724976259854,425.45810843426176,0.0064581185094934,1.0528097973820536,0.0208955367621283,0.9686193052439194,0.8241639135961805,0.9645662155535888,0.8209424096596081,0.9586173265219032,0.8174541916742442,0.9544111183414544,0.8150861208569609,0.9522635016407436,0.813447849219699,0.9504166569446966,0.8100769132016694,0.9513222226055404,0.8091676882013985,0.9430982772132666,0.8064085790242075,0.9434368788571988,0.8023630207746919,0.9686193052439194,0.8241639135961805,0.9686193052439194,0.8241639135961805,0.968346589144744,0.8247087599651195,0.968580393349214,0.825443731409166,0.006435735953139106,1.3753500048099143,1.324854855316906,
502,2022-08-21_11-15-00.165000,2022-08-21_11-15-00.165000,-14.353535301626753,2.5134006319593567,-14.353535301626753,2.5134006319593567,422.99239707760506,0.0380817523787006,422.1199376677053,0.011061568520609,0.8724594098997613,0.0396557456413165,0.5846432589042365,0.2253874134808029,0.5848294727594521,0.2242881039035751,0.5857636558293962,0.2218097939517065,0.5837177559762381,0.219867268993255,0.5857940696453738,0.2194405719603196,0.5865473617497514,0.2171318755449647,0.5869294873848503,0.2154236841271881,0.5904397746358541,0.213150041028939,0.588258064146487,0.2111460404337322,0.5860604797425708,0.2269612435383123,0.5860604797425708,0.2269612435383123,0.5872658459755371,0.228039957440103,0.5891244430215465,0.230477570414564,0.021370442551820176,2.79106451415047,3.2046509870040256,
